Frequency(MHz)	   SEFD(Jy)             old_SEFD(Jy)
3835                565.39                570.91
3865.5              424.53                442.7
3895.5              367.54                386.3
3963                347.77                349.88
3993.5              341.23                355.54
4023.5              324.27                363.18
4123.5	            303.06                362.32
4254	            270.78                338.75
4377	            262.83                329.99
4500	            264.9                 326.27
4638	            277.5                 329.51
4741.5	            284.87                317.97
4869.5	            276.86                308.69
4995	            268.68                311.13
5123	            274.66                306.04
5261	            280.4                 306.55
5374	            280.8                 310.61
5507	            270.65                301.47
5613	            263.13                287.92
5751	            264.24                281.56
5869	            266.45                276.52
5997	            255.67                273.15
6080	            252.93                269.67
6263	            248.45                263.14
6338.5	            249.04                260.9
6477	            241.48                259.86
6617.5	            233.85                255.02
6738	            230.36                247.36
6866	            228.38                244.78
6994	            228.18                243.81
7127	            227.85                249.75
7255	            234.32                256.22
7361	            233.16                252.92
7489	            239.74                261.66
7614.5	            234.51                261.37
7740	            243.78                263.74
7873	            229.09                247.51
7978.5              223.11                241.15
8004                235.04                248.99
8029                250.82                260.04
8099                257.72                274.24
8129.5              252.74                278.1
8159.5              252.27                278.59
8205                282.64                300.7
8235.5              321.13                353.38
8265.5              507.84                541.92
