Frequency(MHz)	   SEFD(Jy) 
17677    1181.24
17764    714.66
17805    597.28
17892    524.2
17933    524.08
18020    507.63
18061    498.9
18148    487.2
18189    490.84
18276    487.89
18317    493.32
18404    496.99
18445    506.66
18532    479.41
18573    488.78
18660    505.84
18701    490.71
18788    483.29
18829    493.97
18916    472.81
18957    470.13
19044    487.21
19085    474.52
19172    480.32
19213    492.24
19300    507.02
19341    496.38
19457    479.61
19544    477.68
19585    485.3
19672    494.83
19713    491.26
19800    498.99
19841    489.29
19928    488.1
19969    499.1
20104    517.32
20145    527.17
20232    521.36
20273    515.68
20360    535.87
20401    538.48
20488    547.9
20529    563.38
20616    551.97
20657    540.99
20744    548.67
20785    557.85
21036    565.07
21077    579.91
21164    578.22
21205    578.35
21292    583.7
21333    584.95
21420    574.66
21461    574.2
21548    589.28
21589    603.04
21676    599.31
21717    610.31
21804    624.33
21845    644.06
21932    661.31
21973    662.23
22060    655.04
22101    655.96
22188    654.78
22229    660.13
22316    665.89
22357    660.49
22444    656.98
22485    656.11
22572    651.76
22613    664.53
22700    680.09
22736    667.09
22741    670.19
22777    652.96
22864    649.36
22905    648.26
22992    640.99
23033    630.09
23120    620.85
23161    624.89
23248    616.04
23289    612.05
23376    597.16
23417    605.37
23504    607.37
23545    606.96
23632    603.71
23673    608.39
23760    584.08
23801    574.05
23936    578.89
23977    587.41
24064    576.66
24105    573
24192    574.77
24233    572.36
24320    558.62
24361    562.38
24448    547.23
24489    545.8
24576    531.93
24617    533.52
24704    524.41
24745    529.76
24832    545.19
24873    548.08
24960    531.39
25001    534.16
25088    527.74
25129    527.71
25216    518.06
25257    513.15
25344    517.68
25385    521.9
25472    526.69
25513    547.44
25600    568.7
25636    574.08
25641    570.29
25677    572.75
25764    565.48
25805    563.18
25892    572
25933    578.3
26020    581.37
26061    580.96
26148    585.41
26189    578.53
26276    571.64
26317    568.37
26404    557.93
26445    566.09
26532    595.03
26573    605.4
26660    599.1
26701    604.58
26788    647.92
26829    667.37
26916    736.36
26957    781.7
27044    972.31
27085    1190.94

