Frequency(MHz)	   SEFD(Jy) 
25689  1007.95
25904  888.79
25945  868.75
26032  819.55
26073  791.3
26160  764.22
26201  743.14
26288  741.71
26329  749.25
26416  714.61
26457  695.83
26544  687.51
26585  690.71
26672  695.26
26905  673.03
26992  632.14
27033  652.86
27120  648.33
27161  625.38
27248  611.38
27289  628.71
27376  651.38
27417  631.78
27504  622.54
27545  625.87
27632  591.73
27673  576.46
27760  597.21
27801  597.26
27888  594.65
27929  612.79
28016  597.62
28057  586.31
28144  579.96
28185  594.21
28272  609.36
28313  605.29
28464  612.59
28505  590.35
28592  572.95
28633  592.01
28720  591.4
28761  582.24
28848  569.47
28889  595.14
28976  610.67
29017  606.42
29104  597.28
29145  588.97
29232  570.85
29273  577.86
29360  584.08
29401  581.21
29488  591.3
29529  606.32
29616  597.05
29657  594.32
29744  599.74
29785  591.02
29872  577.56
29913  582.08
30032  581.27
30073  578.6
30160  587.3
30201  582.72
30288  576.76
30329  595.29
30416  580.63
30457  575.92
30544  597.69
30585  598.82
30672  596.77
30713  588.53
30800  583.36
30841  576.38
30928  576.89
30969  599.23
31001  595.44
31088  594.52
31129  609.23
31177  628.58
31216  611.54
31257  605.42
31305  614.28
31344  618.06
31385  617.45
31433  603.86
31472  609
31520  606.24
31561  598.26
31600  628.58
31648  584.8
31689  589.02
31776  598.44
31817  603.37
31904  607.55
31945  617.22
32032  624.25
32073  610
32160  592.29
32201  590.81
32288  622.64
32329  623.77
32416  602.27
32436  581.8
32457  605.32
32477  594.65
32564  588.64
32605  568.75
32692  551.97
32733  556.78
32820  550.51
32861  547.28
32948  564.94
32989  581.16
33049  623.69
33136  600.61
33177  610.28
33204  570.14
33245  571.93
33264  600.97
33305  587.77
33332  579.27
33373  584.87
33392  580.04
33433  590.91
33460  593.91
33501  599.54
33520  600.87
33561  610.23
33588  602.43
33629  596.95
33648  622.69
33689  620.9
33716  600.23
33757  584.49
33776  608.21
33817  607.9
33844  575.25
33885  573.79
33904  605.52
33945  610.31
33972  584.31
34013  603.25
34036  605.5
34077  612.25
34164  608.93
34205  607.21
34292  607.03
34333  612.2
34420  611.79
34461  620.65
34548  643.5
34589  640.27
34676  618.22
34717  626.43
34804  633.67
34845  633.49
34973  652.79
35008  683.62
35060  650.53
35136  660
35177  663.02
35264  681.21
35305  677.32
35392  654.63
35433  650.15
35520  648
35561  657.42
35648  682.21
35689  689.99
35904  678.12
35945  681.37
36032  710.79
36073  713.46
36160  683.47
36201  675.94
36288  676.45
36329  687.66
36416  710.05
36457  711.77
36544  711.84
36585  691.53
36672  677.22
36713  690.84
36736  699.92
36777  717.91
36800  749.69
36841  762.48
36905  758.39
36992  753.09
37033  756.55
37120  766.32
37161  787.97
37248  825.87
37289  815.48
37376  786.74
37417  789.4
37504  778.68
37545  787.46
37632  850.2
37760  843.37
37801  822.1
37888  806.42
37929  813.66
38016  838.07
38057  839.89
38144  837.35
38185  828.71
38272  816.78
38313  811.56
38336  819.42
38377  849.2
38464  914.86
38505  920.8
38592  901.81
38633  903.3
38720  905.34
38761  921.8
38848  971.36
38889  995.26
39104  952.4
39145  986.82
39232  1093.96
39273  1111.15
39360  1094.06
39401  1075.28
39488  1034.67
39529  1016.52
39616  1013.86
39657  1028.27
39744  1070.47
39785  1050.2
39872  993.62
39913  1014.09
40000  1141.68
40041  1193.85
40057  1226.27
40144  1222.36
40185  1238.04
40272  1216.63
40313  1303.22
40400  1540.06
40441  1548.66
40528  1621.08
40569  1555.85
40656  1528.75
40697  1604.16
40784  1808.77
40825  1879.37
40912  2013.27
40953  2058.84
41040  2122.46
