Frequency(MHz)	   SEFD(Jy) 
11533    668.39
11574    529.12
11661    432.18
11702    427.31
11789    392.67
11830    378.03
11917    360.11
11958    359.31
12045    330.77
12086    326.54
12173    318.74
12214    312.51
12301    301.46
12342    302.98
12429    297.19
12470    307.16
12557    320.67
12598    328.21
12685    318.68
12726    311.61
12813    305.23
12854    298.12
12941    294.38
12982    289.64
13069    287.92
13110    285.16
13197    283.16
13238    294.33
13325    290.34
13366    280.04
13424    277.68
13465    274.43
13552    278.2
13593    280.39
13680    286.2
13721    291.07
13808    301.23
13849    294.48
13936    287.87
13977    291.25
14064    289.32
14105    297.7
14238    323.21
14320    310.22
14361    304.03
14448    292.86
14489    286.3
14576    289
14617    283.61
14704    284.05
14745    287.91
14832    297.6
14873    307.53
14988    315.71
15029    322.41
15116    325.27
15157    323.31
15244    313.43
15285    306.63
15372    295
15413    296.78
15500    297.73
15628    297.52
15669    297.31
15756    289.73
15797    290.19
15884    293.65
15925    294.94
16012    289.69
16053    292.26
16136    297.75
16177    307.97
16264    313.32
16305    307.58
16392    303.7
16433    307.87
16520    308.11
16561    307.63
16648    322.74
16689    329.66
16776    319.36
16817    322.78
16904    326.05
16945    324.14
17032    328.28
17073    330.97
17160    326.77
17201    326.22
17288    332.69
17329    323.65
17416    321.88
17457    325.03
17544    338.06
17585    337.1
17660    342.5
17701    341.83
17788    345.41
17829    348.66
17916    361.25
17957    362.79
18044    385.19
18085    405.47
18172    442.46
18213    503.81
18300    690.94
18341    830.24

