Frequency(MHz)	   SEFD(Jy) 
38436   1282.23
38477   1185.88
38564   1102.15
38605   1024.29
38692   953.97
38733   994.4
38820   1030.13
38861   993.12
38948   985.67
38989   1046.33
39076   1068.33
39117   1030.12
39204   1028.78
39245   1023.37
39332   987.55
39373   980.05
39460   998.22
39501   974.63
39588   959.2
39629   971.83
39716   971.79
39757   971.94
39844   1027.3
39885   1015.66
39972   1019
40013   1016.81
40136   976.58
40177   960.1
40264   1010.23
40305   976.6
40392   965.94
40433   996.03
40520   991.61
40561   961.96
40648   952.88
40689   988.02
40776   1015.37
40817   1008.79
40904   1032.89
40945   1055.41
41032   1032.25
41073   1021.54
41160   1024.3
41201   1017.63
41288   1004.45
41329   1018.33
41416   977.57
41457   967.86
41544   1006.32
41585   1026.31
41672   1041.83
41713   1035.58
41814   1001.66
41855   971
41942   960.42
41983   959.41
42070   1003.2
42111   1009.86
42198   1016.69
42239   1034.24
42326   996.53
42367   999.25
42454   1002
42495   1013.29
42582   1036.18
42623   1057.49
42710   1071.17
42751   1058.75
42838   1049.42
42879   1054.67
42966   1036.55
43007   1012.13
43094   1012.4
43135   1016.48
43222   1022.95
43263   1075.5
43350   1102.09
43386   1096.69
43391   1101.88
43427   1105.79
43514   1085.53
43555   1063
43642   1067.09
43683   1090.34
43770   1129.94
43811   1138.18
43898   1175.45
43939   1164.77
44026   1123.78
44067   1129
44154   1117.79
44195   1122.8
44282   1168.39
44323   1214.38
44410   1218.31
44451   1199.98
44538   1237.66
44579   1195.31
44666   1200.4
44707   1183.48
44794   1191.46
44835   1227.55
44922   1242.37
44963   1275.54
45050   1309
45091   1306.82
45160   1387.87
45201   1364.98
45288   1406.72
45329   1362.22
45416   1332.88
45457   1297.13
45544   1307.89
45585   1331.39
45672   1425.6
45713   1460.89
45800   1545.03
45841   1531.17
46008   1568.38
46049   1481.88
46136   1436.02
46177   1466.33
46264   1575.61
46305   1582.36
46392   1659.18
46433   1646.53
46499   1591.69
46586   1604.09
46627   1635.26
46714   1592.93
46755   1622.33
46842   1626.01
46883   1642.03
46970   1630.93
47011   1642.41
47098   1670.87
47139   1684.19
47226   1650.44
47267   1696.07
47354   1662.23
47395   1760.37
47482   1839.31
47523   1856.78
47610   1804.32
47651   1747
47738   1786.32
47779   1802.76
47866   1919.37
47907   1948.93
47994   2021.07
48035   2104.03
48122   2016.17
48163   2057.89
48358   2185.77
48399   2174.48
48486   2328.66
48527   2376.79
48614   2305.28
48655   2316.11
48742   2278.44
48783   2218.41
48870   2351.88
48911   2461.52
48998   2583.01
49039   2581.22
49126   2496.33
49167   2687.64
49254   2698.95
49295   2686.97
49382   2824.27
49423   2967.01
49510   3077.15
49551   2975.31
49638   2941.34
49679   2935.69
49766   3039.27
49807   2970.81
49894   3069.31
49935   3273.61
50008   3380.37
50063   3388.48
50136   3387.72
50191   3523.95
50264   3785.82
50319   4452.46

