Frequency(MHz) SEFD(Jy)
1850.5 1192.36
1889.5 608.29
1909 518.86
1928.5 466.23
1959 412.83
1978.5 399.76
1998 389.98
2017.5 397.59
2037 378.48
2056.5 380.58
2087 363.92
2106.5 369.22
2126 362.47
2145.5 361.26
2165 354.54
2184.5 356.73
2215 360.61
2234.5 373.75
2254 358.66
2273.5 368.83
2293 368.01
2312.5 370.54
2362.5 407.4
2382 395.34
2401.5 410.65
2421 405.56
2440.5 397.02
2490.5 408.21
2510 391.13
2529.5 391.54
2549 397.53
2561.5 400.83
2568.5 395.02
2581 404.24
2599 395.1
2618.5 392.48
2638 390.49
2650.5 389.76
2657.5 388.92
2670 390.14
2677 394.91
2689.5 390.25
2709 398.79
2759 400.14
2778.5 400.44
2798 400.07
2817.5 396.77
2837 391.76
2856.5 385.39
2887 386.54
2906.5 377.37
2926 369.52
2945.5 361.78
2965 366.61
2984.5 363.98
3015 356.72
3034.5 352.54
3054 351.83
3073.5 343.59
3093 349.49
3112.5 340.65
3143 323.39
3162.5 318.8
3182 319.15
3201.5 313.14
3221 320.95
3240.5 316.72
3271 325.67
3290.5 312.57
3310 315.16
3329.5 305.4
3340 313.05
3349 306.8
3359.5 308.24
3368.5 302.3
3379 295.35
3399 301.63
3418.5 290.15
3431 288.95
3438 293.4
3450.5 290.32
3457.5 289.07
3470 279.29
3477 283.45
3489.5 282.57
3509 277.83
3528.5 280.07
3559 275.2
3578.5 278.15
3598 278.19
3617.5 276.23
3637 283.72
3656.5 279.18
3687 290.08
3706.5 290.99
3726 307.19
3745.5 299.76
3765 316.61
3784.5 311.7
3815 326.38
3834.5 326.38
3854 329.46
3873.5 321.33
3893 310.28
3912.5 315.13
3943 322.59
3962.5 318.89
3982 327.18
4001.5 340.19
4021 337.68
4040.5 342.23
4071 331.54
4090.5 326.09
4110 324.72
4129.5 359.02
4149 420.67
4168.5 473.54
4199 929
4218.5 1415.87

