Frequency(MHz)	   SEFD(Jy) 
8040.0000          304.99  
8168.0000          264.43
8296.0000          262.76
8424.0000          254.02
8552.0000          258.33 
8680.0000          260.3
8808.0000          261.91
8936.0000          259.87
9064.0000          252.62
9192.0000          255.03
9320.0000          252.64
9448.0000          261.99
9552.0000          266.52
9680.0000          262.8
9808.0000          260.2
9936.0000          259.1
10064.0000         258.45
10192.0000         268.82
10320.0000         274.34
10448.0000         269.05
10552.0000         255.01
10680.0000         256.35
10808.0000         264.4
10936.0000         269.43
11064.0000         285.07
11192.0000         285.84
11320.0000         291.75
11448.0000         291.40   
11576.0000         298.78
11704.0000         318.76  
11832.0000         399.61  
11960.0000         434.87 


































